Point ID,arc_length,B_0,B_1,B_2,B_Magnitude,p,pB,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
119,0.119,0.75,1,-6.83494e-19,1.25,1,-2.63196e-16,0.119,0,0,0.119,0.999645,0.00348432,1.94559e-10,-9.39085e-11,-1.13142e-18,2.16037e-10,1
120,0.12,0.75,1,-1.05829e-18,1.25,1,-5.65755e-16,0.12,0,0,0.12,0.999645,0.00348432,1.84352e-10,-9.46412e-11,-9.17944e-19,2.07226e-10,1
121,0.121,0.75,1,-1.50884e-18,1.25,1,-4.847e-16,0.121,0,0,0.121,0.999645,0.00348432,1.71791e-10,-9.69122e-11,-9.54612e-19,1.97242e-10,1
122,0.122,0.75,1,-1.61501e-18,1.25,1,-1.12633e-16,0.122,0,0,0.122,0.999645,0.00348432,1.56942e-10,-9.70615e-11,-1.31899e-18,1.84531e-10,1
123,0.123,0.75,1,-1.41136e-18,1.25,1,-2.02504e-16,0.123,0,0,0.123,0.999645,0.00348432,1.50317e-10,-8.7497e-11,-1.65847e-18,1.73928e-10,1
124,0.124,0.75,1,-1.1917e-18,1.25,1,-1.12678e-16,0.124,0,0,0.124,0.999645,0.00348432,1.57634e-10,-7.14198e-11,-1.33194e-18,1.73059e-10,1
125,0.125,0.75,1,-1.31235e-18,1.25,1,1.03318e-17,0.125,0,0,0.125,0.999645,0.00348432,1.653e-10,-5.83291e-11,-9.20853e-19,1.7529e-10,1
126,0.126,0.75,1,-1.6729e-18,1.25,1,4.31636e-17,0.126,0,0,0.126,0.999645,0.00348432,1.32643e-10,-6.17467e-11,-9.21037e-19,1.4631e-10,1
127,0.127,0.75,1,-1.80214e-18,1.25,1,8.45388e-17,0.127,0,0,0.127,0.999645,0.00348432,8.72664e-11,-7.85377e-11,-1.32779e-18,1.17404e-10,1
128,0.128,0.75,1,-1.55639e-18,1.25,1,1.56011e-16,0.128,0,0,0.128,0.999645,0.00348432,1.12066e-10,-9.5722e-11,-1.65068e-18,1.47382e-10,1
129,0.129,0.75,1,-1.34625e-18,1.25,1,2.95338e-16,0.129,0,0,0.129,0.999645,0.00348432,1.80455e-10,-1.11495e-10,-1.35123e-18,2.12121e-10,1
130,0.13,0.75,1,-1.49051e-18,1.25,1,2.65283e-16,0.13,0,0,0.13,0.999645,0.00348432,2.08708e-10,-1.26403e-10,-9.91566e-19,2.44001e-10,1
131,0.131,0.75,1,-1.79909e-18,1.25,1,1.0894e-16,0.131,0,0,0.131,0.999645,0.00348432,1.78742e-10,-1.39575e-10,-9.58892e-19,2.26782e-10,1
132,0.132,0.75,1,-1.89793e-18,1.25,1,1.00877e-16,0.132,0,0,0.132,0.999645,0.00348432,1.47873e-10,-1.45328e-10,-1.31439e-18,2.07332e-10,1
133,0.133,0.75,1,-1.68536e-18,1.25,1,8.89588e-17,0.133,0,0,0.133,0.999645,0.00348432,1.49276e-10,-1.42332e-10,-1.61138e-18,2.06256e-10,1
134,0.134,0.75,1,-1.47561e-18,1.25,1,7.32738e-17,0.134,0,0,0.134,0.999645,0.00348432,1.44359e-10,-1.37372e-10,-1.26018e-18,1.99275e-10,1
135,0.135,0.75,1,-1.56316e-18,1.25,1,6.20266e-17,0.135,0,0,0.135,0.999645,0.00348432,1.05288e-10,-1.37503e-10,-8.56093e-19,1.73184e-10,1
136,0.136,0.75,1,-1.8291e-18,1.25,1,9.19752e-18,0.136,0,0,0.136,0.999645,0.00348432,4.12329e-11,-1.39545e-10,-8.93753e-19,1.45509e-10,1
137,0.137,0.75,1,-1.85848e-18,1.25,1,1.84322e-17,0.137,0,0,0.137,0.999645,0.00348432,1.64847e-12,-1.32601e-10,-1.35772e-18,1.32611e-10,1
138,0.138,0.75,1,-1.519e-18,1.25,1,-9.09608e-19,0.138,0,0,0.138,0.999645,0.00348432,2.02424e-11,-1.15561e-10,-1.69757e-18,1.17321e-10,1
139,0.139,0.75,1,-1.20078e-18,1.25,1,1.04766e-16,0.139,0,0,0.139,0.999645,0.00348432,6.71684e-11,-9.65216e-11,-1.38098e-18,1.17593e-10,1
140,0.14,0.75,1,-1.19047e-18,1.25,1,4.78488e-16,0.14,0,0,0.14,0.999645,0.00348432,5.28647e-11,-8.14261e-11,-1.00554e-18,9.70818e-11,1
141,0.141,0.75,1,-1.30549e-18,1.25,1,3.89459e-16,0.141,0,0,0.141,0.999645,0.00348432,-2.85309e-11,-6.24052e-11,-1.0421e-18,6.8618e-11,1
142,0.142,0.75,1,-1.21842e-18,1.25,1,1.48653e-17,0.142,0,0,0.142,0.999645,0.00348432,-5.4349e-11,-2.94878e-11,-1.43749e-18,6.18332e-11,1
143,0.143,0.75,1,-8.19963e-19,1.25,1,-5.97948e-17,0.143,0,0,0.143,0.999645,0.00348432,-3.7283e-11,1.34905e-11,-1.76592e-18,3.96487e-11,1
144,0.144,0.75,1,-2.75701e-19,1.25,1,-9.62126e-17,0.144,0,0,0.144,0.999645,0.00348432,-3.67564e-11,6.92228e-11,-1.48174e-18,7.83762e-11,1
