Point ID,Ma,mag(U),p,Points_0,Points_1,Points_2,Points_Magnitude,T
27,5.526484e-01,1.857174e+02,1.116305e+05,3.056687e-01,0.000000e+00,1.666667e-02,3.061228e-01,2.810635e+02
28,5.350386e-01,1.801170e+02,1.130445e+05,3.116713e-01,0.000000e+00,1.666667e-02,3.121167e-01,2.820569e+02
29,5.122647e-01,1.728582e+02,1.147344e+05,3.174294e-01,0.000000e+00,1.666667e-02,3.178666e-01,2.834083e+02
30,4.860335e-01,1.643960e+02,1.167792e+05,3.229527e-01,0.000000e+00,1.666667e-02,3.233825e-01,2.847430e+02
31,4.504206e-01,1.528278e+02,1.190750e+05,3.282510e-01,0.000000e+00,1.666667e-02,3.286738e-01,2.865912e+02
32,4.231440e-01,1.438076e+02,1.212641e+05,3.333333e-01,0.000000e+00,1.666667e-02,3.337497e-01,2.874510e+02
33,4.407166e-01,1.493843e+02,1.205160e+05,3.382808e-01,2.025711e-03,1.666667e-02,3.386971e-01,2.859877e+02
34,4.902610e-01,1.655114e+02,1.163958e+05,3.432528e-01,3.990231e-03,1.666667e-02,3.436804e-01,2.837283e+02
35,5.410278e-01,1.818042e+02,1.121635e+05,3.482487e-01,5.893262e-03,1.666667e-02,3.486972e-01,2.810881e+02
36,5.826503e-01,1.949537e+02,1.087802e+05,3.532678e-01,7.734513e-03,1.666667e-02,3.537453e-01,2.786686e+02
37,6.165991e-01,2.055503e+02,1.059404e+05,3.583091e-01,9.513706e-03,1.666667e-02,3.588227e-01,2.766014e+02
38,6.465591e-01,2.147973e+02,1.033556e+05,3.633721e-01,1.123057e-02,1.666667e-02,3.639274e-01,2.747012e+02
39,6.744528e-01,2.233175e+02,1.009149e+05,3.684558e-01,1.288484e-02,1.666667e-02,3.690575e-01,2.728705e+02
40,7.007099e-01,2.312560e+02,9.859564e+04,3.735595e-01,1.447627e-02,1.666667e-02,3.742112e-01,2.710950e+02
41,7.255101e-01,2.386830e+02,9.639044e+04,3.786825e-01,1.600461e-02,1.666667e-02,3.793868e-01,2.693792e+02
42,7.490851e-01,2.456749e+02,9.428572e+04,3.838239e-01,1.746963e-02,1.666667e-02,3.845826e-01,2.677109e+02
43,7.717059e-01,2.523217e+02,9.226180e+04,3.889830e-01,1.887112e-02,1.666667e-02,3.897970e-01,2.660785e+02
44,7.936473e-01,2.587085e+02,9.029553e+04,3.941591e-01,2.020885e-02,1.666667e-02,3.950286e-01,2.644664e+02
45,8.151193e-01,2.649016e+02,8.837178e+04,3.993512e-01,2.148262e-02,1.666667e-02,4.002757e-01,2.628629e+02
46,8.361364e-01,2.709068e+02,8.649046e+04,4.045587e-01,2.269224e-02,1.666667e-02,4.055372e-01,2.612692e+02
47,8.566548e-01,2.767165e+02,8.465570e+04,4.097806e-01,2.383752e-02,1.666667e-02,4.108116e-01,2.596924e+02
48,8.766908e-01,2.823370e+02,8.287011e+04,4.150164e-01,2.491829e-02,1.666667e-02,4.160977e-01,2.581330e+02
49,8.962718e-01,2.877811e+02,8.113262e+04,4.202650e-01,2.593439e-02,1.666667e-02,4.213941e-01,2.565925e+02
50,9.154649e-01,2.930682e+02,7.943914e+04,4.255258e-01,2.688566e-02,1.666667e-02,4.266999e-01,2.550665e+02
51,9.343034e-01,2.982120e+02,7.778623e+04,4.307979e-01,2.777196e-02,1.666667e-02,4.320138e-01,2.535551e+02
52,9.528295e-01,3.032242e+02,7.617223e+04,4.360805e-01,2.859314e-02,1.666667e-02,4.373346e-01,2.520554e+02
53,9.710752e-01,3.081177e+02,7.459445e+04,4.413729e-01,2.934909e-02,1.666667e-02,4.426615e-01,2.505675e+02
54,9.890791e-01,3.129024e+02,7.304909e+04,4.466742e-01,3.003969e-02,1.666667e-02,4.479933e-01,2.490884e+02
55,1.006923e+00,3.176036e+02,7.152869e+04,4.519836e-01,3.066484e-02,1.666667e-02,4.533291e-01,2.476137e+02
56,1.024681e+00,3.222393e+02,7.002795e+04,4.573004e-01,3.122444e-02,1.666667e-02,4.586680e-01,2.461371e+02
57,1.042364e+00,3.268149e+02,6.854542e+04,4.626236e-01,3.171841e-02,1.666667e-02,4.640091e-01,2.446590e+02
58,1.059983e+00,3.313319e+02,6.708186e+04,4.679525e-01,3.214666e-02,1.666667e-02,4.693514e-01,2.431787e+02
59,1.077502e+00,3.357831e+02,6.563891e+04,4.732863e-01,3.250914e-02,1.666667e-02,4.746942e-01,2.417005e+02
60,1.094924e+00,3.401684e+02,6.421849e+04,4.786242e-01,3.280579e-02,1.666667e-02,4.800366e-01,2.402243e+02
61,1.112226e+00,3.444847e+02,6.282125e+04,4.839653e-01,3.303656e-02,1.666667e-02,4.853778e-01,2.387534e+02
62,1.129426e+00,3.487347e+02,6.144698e+04,4.893088e-01,3.320143e-02,1.666667e-02,4.907171e-01,2.372857e+02
63,1.146538e+00,3.529260e+02,6.009427e+04,4.946540e-01,3.330036e-02,1.666667e-02,4.960537e-01,2.358229e+02
64,1.163619e+00,3.570684e+02,5.875978e+04,5.000000e-01,3.333334e-02,1.666667e-02,5.013869e-01,2.343567e+02
65,1.180729e+00,3.611826e+02,5.743791e+04,5.053460e-01,3.330036e-02,1.666667e-02,5.067162e-01,2.328886e+02
66,1.198045e+00,3.653014e+02,5.612168e+04,5.106912e-01,3.320143e-02,1.666667e-02,5.120406e-01,2.313945e+02
67,1.215490e+00,3.694186e+02,5.480415e+04,5.160347e-01,3.303656e-02,1.666667e-02,5.173597e-01,2.298951e+02
